Time;Error
10,00;0,03
24,00;0,06
37,00;0,11
51,00;0,19
65,00;0,39
79,00;0,54
92,00;0,63
106,00;0,65
122,00;0,58
136,00;0,46
150,00;0,41
163,00;0,31
177,00;0,14
191,00;0,01
205,00;-0,10
218,00;-0,16
235,00;-0,19
249,00;-0,15
262,00;-0,15
277,00;-0,18
290,00;-0,16
304,00;-0,09
318,00;-0,11
332,00;-0,13
347,00;-0,22
362,00;-0,38
375,00;-0,34
389,00;-0,31
403,00;-0,34
417,00;-0,38
430,00;-0,36
445,00;-0,38
460,00;-0,30
474,00;-0,38
488,00;-0,45
502,00;-0,49
516,00;-0,52
530,00;-0,45
544,00;-0,39
557,00;-0,35
574,00;-0,44
587,00;-0,45
601,00;-0,48
615,00;-0,38
629,00;-0,34
642,00;-0,33
657,00;-0,32
670,00;-0,39
686,00;-0,25
700,00;-0,20
714,00;-0,32
727,00;-0,44
742,00;-0,41
756,00;-0,35
769,00;-0,23
784,00;-0,26
799,00;-0,24
813,00;-0,10
827,00;-0,10
841,00;-0,14
854,00;-0,19
869,00;-0,17
882,00;-0,09
896,00;-0,06
913,00;-0,13
926,00;-0,17
940,00;-0,16
954,00;-0,11
968,00;-0,11
981,00;-0,18
996,00;-0,19
1009,00;-0,20
1025,00;-0,09
1039,00;0,02
1053,00;-0,03
1066,00;-0,08
1081,00;-0,10
1094,00;-0,13
1108,00;-0,03
1121,00;-0,01
1138,00;0,01
1151,00;0,04
1165,00;0,08
1180,00;0,11
1193,00;-0,01
1207,00;-0,08
1221,00;-0,04
1235,00;0,00
1250,00;-0,03
1265,00;-0,00
1278,00;0,05
1292,00;0,14
1306,00;0,17
1320,00;0,08
1333,00;0,10
1348,00;0,14
1363,00;0,23
1377,00;0,31
1391,00;0,30
1405,00;0,23
1418,00;0,26
1433,00;0,33
1446,00;0,42
1460,00;0,46
1477,00;0,44
1490,00;0,45
1504,00;0,50
1518,00;0,52
1532,00;0,49
1545,00;0,33
1560,00;0,29
1573,00;0,28
1589,00;0,33
1603,00;0,31
1617,00;0,31
1631,00;0,34
1645,00;0,36
1659,00;0,26
1672,00;0,17
1687,00;0,15
1702,00;0,19
1716,00;0,18
1730,00;0,20
1744,00;0,25
1757,00;0,33
1772,00;0,43
1785,00;0,45
1799,00;0,48
1815,00;0,46
1829,00;0,51
1842,00;0,58
1857,00;0,66
1870,00;0,60
1884,00;0,51
1898,00;0,43
1912,00;0,41
1928,00;0,41
1942,00;0,34
1956,00;0,29
1969,00;0,22
1984,00;0,20
1997,00;0,21
2011,00;0,19
2025,00;0,13
2041,00;0,13
2055,00;0,21
2069,00;0,20
2083,00;0,17
2096,00;0,06
2111,00;0,03
2124,00;0,06
2138,00;-0,01
2154,00;-0,08
2168,00;-0,04
2181,00;0,03
2196,00;0,10
2209,00;0,20
2223,00;0,22
2237,00;0,14
2251,00;0,06
2266,00;0,11
2281,00;0,20
2294,00;0,26
2308,00;0,24
2322,00;0,22
2336,00;0,21
2349,00;0,20
2364,00;0,19
2380,00;0,07
2393,00;-0,05
2408,00;-0,14
2421,00;-0,13
2435,00;-0,12
2449,00;-0,22
2463,00;-0,33
2476,00;-0,31
2493,00;-0,31
2506,00;-0,45
2520,00;-0,44
2535,00;-0,43
2548,00;-0,38
2562,00;-0,30
2576,00;-0,38
2590,00;-0,42
2605,00;-0,32
2620,00;-0,26
2633,00;-0,21
2647,00;-0,18
2661,00;-0,16
2675,00;-0,10
2688,00;0,04
2703,00;0,14
2719,00;0,12
2732,00;0,21
2747,00;0,25
2760,00;0,33
2774,00;0,28
2788,00;0,22
2802,00;0,16
2815,00;0,18
2832,00;0,06
2845,00;-0,02
2859,00;-0,07
2874,00;-0,03
2887,00;-0,02
2901,00;-0,09
2914,00;-0,10
2929,00;-0,18
2944,00;-0,09
2959,00;-0,10
2972,00;-0,15
2986,00;-0,17
2999,00;-0,06
3014,00;0,06
3027,00;0,09
3041,00;0,11
3058,00;-0,02
3071,00;0,03
3085,00;0,15
3099,00;0,20
3113,00;0,27
3126,00;0,29
3141,00;0,24
3154,00;0,25
3170,00;0,24
3184,00;0,10
3198,00;-0,02
3212,00;-0,02
3226,00;0,02
3240,00;-0,00
3253,00;-0,03
3268,00;-0,01
3283,00;0,05
3297,00;0,02
3311,00;-0,07
3325,00;-0,10
3338,00;-0,08
3353,00;0,03
3366,00;-0,00
3380,00;-0,07
3396,00;-0,03
3410,00;0,01
3423,00;0,01
3438,00;0,01
3451,00;-0,06
3465,00;-0,03
3480,00;0,11
3493,00;0,13
3509,00;0,14
3523,00;0,16
3537,00;0,16
3550,00;0,27
3565,00;0,33
3578,00;0,28
3592,00;0,31
3606,00;0,34
3622,00;0,34
3636,00;0,27
3650,00;0,24
3664,00;0,25
3677,00;0,28
3692,00;0,19
3705,00;0,12
3719,00;0,05
3735,00;0,07
3749,00;-0,01
3762,00;-0,12
3777,00;-0,18
3791,00;-0,17
3804,00;-0,08
3819,00;-0,05
3832,00;-0,05
3848,00;-0,01
3862,00;0,07
3876,00;0,15
3889,00;0,17
3904,00;0,13
3917,00;0,15
3931,00;0,19
3945,00;0,28
3961,00;0,28
3974,00;0,24
3989,00;0,24
4002,00;0,29
4016,00;0,23
4031,00;0,19
4044,00;0,05
4058,00;0,04
4074,00;0,03
4088,00;-0,05
4101,00;-0,12
4116,00;-0,14
4129,00;-0,12
4143,00;-0,08
4157,00;-0,14
4171,00;-0,20
4187,00;-0,12
4201,00;-0,03
4215,00;-0,08
4228,00;-0,17
4243,00;-0,17
4256,00;-0,15
4270,00;-0,06
4284,00;-0,01
4300,00;-0,03
4313,00;-0,01
4328,00;0,07
4341,00;0,15
4355,00;0,18
4369,00;0,20
4383,00;0,26
4396,00;0,31
4413,00;0,29
4426,00;0,26
4440,00;0,20
4454,00;0,20
4468,00;0,29
4481,00;0,21
4496,00;0,18
4509,00;0,25
4525,00;0,23
4540,00;0,12
4553,00;0,04
4567,00;0,12
4581,00;0,14
4595,00;0,19
4608,00;0,11
4623,00;0,09
4638,00;0,14
4652,00;0,16
4666,00;0,23
4680,00;0,24
4693,00;0,21
4708,00;0,18
4721,00;0,16
4735,00;0,24
4752,00;0,32
4765,00;0,31
4779,00;0,31
4793,00;0,29
4807,00;0,30
4820,00;0,30
4834,00;0,16
4848,00;0,06
4864,00;0,06
4879,00;0,08
4892,00;0,04
4906,00;0,03
4919,00;-0,00
4934,00;0,07
4947,00;0,01
4961,00;-0,12
4977,00;-0,22
4991,00;-0,19
5004,00;-0,18
5019,00;-0,23
5032,00;-0,29
5046,00;-0,32
5060,00;-0,16
5074,00;-0,08
5089,00;-0,14
5104,00;-0,13
5118,00;-0,05
5131,00;-0,00
5146,00;0,02
5159,00;0,05
5173,00;0,07
5187,00;0,11
5203,00;0,20
5216,00;0,16
5231,00;0,11
5244,00;0,13
5258,00;0,12
5272,00;0,05
5286,00;0,02
5299,00;-0,07
5316,00;0,03
5329,00;0,01
5343,00;-0,06
5358,00;-0,20
5371,00;-0,15
5385,00;-0,15
5399,00;-0,13
5413,00;-0,12
5428,00;-0,15
5443,00;-0,16
5456,00;-0,06
5470,00;-0,04
5484,00;-0,15
5498,00;-0,19
5511,00;-0,16
5526,00;-0,07
5542,00;-0,07
5555,00;-0,07
5570,00;-0,05
5583,00;0,02
5597,00;0,09
5611,00;0,10
5625,00;0,03
5638,00;-0,05
5655,00;-0,07
5668,00;-0,08
5682,00;-0,19
5696,00;-0,26
5710,00;-0,26
5723,00;-0,24
5738,00;-0,28
5751,00;-0,44
5767,00;-0,46
5782,00;-0,43
5795,00;-0,42
5809,00;-0,45
5823,00;-0,47
5837,00;-0,41
5850,00;-0,30
5865,00;-0,26
5880,00;-0,25
5894,00;-0,24
5908,00;-0,16
5922,00;-0,13
5936,00;-0,11
5950,00;-0,13
5964,00;-0,14
5977,00;0,04
5994,00;0,06
6007,00;0,02
6021,00;0,11
6035,00;0,16
6049,00;0,23
6062,00;0,16
6077,00;0,03
6090,00;-0,04
6106,00;0,10
6120,00;0,02
6134,00;-0,04
6148,00;-0,07
6162,00;-0,11
6176,00;0,00
6189,00;-0,12
6204,00;-0,22
6219,00;-0,28
6233,00;-0,25
6247,00;-0,17
6261,00;-0,14
6274,00;-0,20
6289,00;-0,18
6302,00;-0,12
6316,00;-0,01
6333,00;-0,04
6346,00;-0,04
6360,00;-0,01
6374,00;0,12
6388,00;0,20
6401,00;0,24
6416,00;0,21
6429,00;0,18
6445,00;0,20
6459,00;0,17
6473,00;0,09
6486,00;0,01
6501,00;0,01
6514,00;-0,01
6528,00;-0,04
6543,00;-0,12
6558,00;-0,20
6572,00;-0,18
6586,00;-0,27
6600,00;-0,39
6613,00;-0,42
6628,00;-0,43
6641,00;-0,31
6655,00;-0,29
6671,00;-0,29
6685,00;-0,32
6699,00;-0,18
6713,00;-0,12
6727,00;-0,14
6740,00;-0,05
6754,00;0,02
6768,00;0,11
6784,00;0,21
6797,00;0,18
6812,00;0,18
6825,00;0,27
